epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.43,2.28594,3.35929,2.15895,0.01051,0.63265,0.09903,0.03071,2.0927,3.91379,1.98533,0.00053344,0.00053344,0.00053344
2,221.036,2.23998,2.84403,2.17986,0.13377,0.04592,0.03587,0.01254,2.43494,4.3678,2.63255,0.0010621,0.0010621,0.0010621
3,341.863,2.29935,2.74531,2.20593,0.16306,0.11224,0.06668,0.02207,2.5926,5.25642,2.83185,0.00156897,0.00156897,0.00156897
4,454.5,2.30305,2.7565,2.23345,0.19302,0.16327,0.09537,0.02927,2.54366,6.98535,2.92764,0.00156798,0.00156798,0.00156798
5,572.033,2.25344,2.71772,2.21392,0.09486,0.14796,0.04335,0.01342,2.78405,3.96546,2.84236,0.00153497,0.00153497,0.00153497
6,676.229,2.25265,2.70767,2.21089,0.17242,0.17347,0.09711,0.03732,2.24067,4.05944,2.39029,0.00150197,0.00150197,0.00150197
7,799.363,2.2065,2.66591,2.18212,0.14477,0.16327,0.07528,0.03008,2.16288,4.34786,2.22882,0.00146896,0.00146896,0.00146896
8,878.908,2.18953,2.62226,2.13476,0.21818,0.20408,0.08979,0.02782,2.49217,3.73536,2.3271,0.00143595,0.00143595,0.00143595
9,956.701,2.19216,2.53471,2.09708,0.26456,0.21939,0.16281,0.06297,2.17271,3.07068,2.15511,0.00140295,0.00140295,0.00140295
10,1041.23,2.14661,2.52523,2.10403,0.26886,0.16327,0.1186,0.04236,2.27362,3.1942,2.13017,0.00136994,0.00136994,0.00136994
