epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25831,2.32327,3.68425,2.23699,0.00841,0.54592,0.04792,0.01763,1.70556,3.47057,1.8472,0.00013336,0.00013336,0.00013336
2,7.11303,2.1494,3.47562,2.12801,0.00882,0.66837,0.06953,0.02388,1.99306,3.4208,1.9728,0.000282455,0.000282455,0.000282455
3,9.87052,2.17307,2.9997,2.03013,0.00793,0.53061,0.06805,0.0266,2.11179,3.36356,2.04371,0.000430559,0.000430559,0.000430559
4,12.5934,2.22742,2.69184,2.06048,0.00989,0.58163,0.10915,0.03991,2.01013,3.26112,2.05053,0.000577674,0.000577674,0.000577674
5,15.3695,2.16253,2.63664,2.10451,0.04546,0.44388,0.08629,0.02693,2.26759,3.24525,2.34436,0.000723798,0.000723798,0.000723798
6,18.1607,2.15458,2.60917,2.12872,0.23164,0.12755,0.1025,0.03765,2.01547,3.17608,2.18179,0.000868932,0.000868932,0.000868932
7,20.9398,2.12098,2.83758,2.11908,0.1108,0.09918,0.03928,0.01153,2.25858,3.54409,2.54381,0.00101308,0.00101308,0.00101308
8,23.6547,2.12039,2.58969,2.0862,0.00574,0.57653,0.02428,0.00661,2.85176,3.47158,2.65616,0.00115623,0.00115623,0.00115623
9,26.9307,2.12189,2.65056,2.10062,0.08869,0.02551,0.01898,0.00564,3.22654,3.49855,3.38099,0.00129839,0.00129839,0.00129839
10,29.726,2.10588,2.54179,2.12444,0.05717,0.09694,0.02666,0.00783,2.81004,3.69841,3.08727,0.00143957,0.00143957,0.00143957
11,32.6374,2.13487,2.5116,2.10112,0.0644,0.10641,0.02005,0.006,2.69958,3.55314,2.89184,0.00157975,0.00157975,0.00157975
12,35.4148,2.14648,2.46495,2.09568,0.14253,0.10204,0.05439,0.01514,2.5622,3.4284,3.08332,0.00160649,0.00160649,0.00160649
13,38.221,2.12883,2.49338,2.11769,0.01476,0.05102,0.00438,0.0011,3.48695,4.1258,3.869,0.00160099,0.00160099,0.00160099
14,41.088,2.12757,2.52092,2.14129,0.1611,0.07653,0.03216,0.01048,3.0887,3.33201,3.31584,0.00159549,0.00159549,0.00159549
15,43.9397,2.14083,2.51331,2.15873,0.01348,0.01531,0.00174,0.00052,4.234,6.17729,8.44712,0.00158998,0.00158998,0.00158998
16,46.7831,2.09911,2.43487,2.06925,0.07294,0.03571,0.00918,0.00399,3.26803,5.69649,3.5813,0.00158448,0.00158448,0.00158448
17,49.5319,2.09878,2.4887,2.12251,0.00181,0.0051,0.0007,0.00028,3.29993,10.9882,3.56586,0.00157898,0.00157898,0.00157898
18,52.2712,2.09073,2.38407,2.06879,0.09176,0.10714,0.03057,0.00982,2.44861,5.85197,2.56593,0.00157348,0.00157348,0.00157348
19,55.0084,2.08757,2.41788,2.08033,0.01252,0.07143,0.00539,0.00187,2.61531,6.06152,2.67551,0.00156798,0.00156798,0.00156798
20,57.6875,2.02604,2.36093,2.02937,0.1141,0.08673,0.05106,0.01747,2.44972,4.19359,2.5995,0.00156248,0.00156248,0.00156248
21,60.4437,2.08572,2.36564,2.10054,0.02328,0.06633,0.01513,0.00573,2.40809,6.08564,2.39815,0.00155698,0.00155698,0.00155698
22,63.2488,2.03662,2.29376,2.0588,0.27172,0.13265,0.12367,0.04972,2.35664,3.29633,2.5062,0.00155148,0.00155148,0.00155148
23,66.1467,2.04376,2.26433,2.02497,0.10363,0.22959,0.04532,0.0145,2.45232,3.83491,2.33501,0.00154598,0.00154598,0.00154598
24,68.9241,2.02475,2.25694,2.0124,0.05698,0.05102,0.01423,0.00367,2.75621,5.60217,3.10085,0.00154047,0.00154047,0.00154047
25,71.6411,1.99226,2.23794,2.0047,0.19783,0.29082,0.13034,0.05415,2.29264,3.10138,2.25131,0.00153497,0.00153497,0.00153497
26,74.3406,2.02114,2.19361,1.98912,0.26627,0.15816,0.13355,0.04787,2.44992,2.9966,2.4113,0.00152947,0.00152947,0.00152947
27,77.1154,1.99754,2.21676,1.99337,0.12728,0.18367,0.07905,0.02446,2.35791,3.31731,2.33451,0.00152397,0.00152397,0.00152397
28,79.8776,1.96701,2.17645,1.95765,0.19056,0.15816,0.08623,0.03054,2.44878,3.46713,2.46352,0.00151847,0.00151847,0.00151847
29,82.6034,1.92988,2.15716,1.97123,0.18067,0.18878,0.0927,0.03366,2.40526,3.43201,2.43311,0.00151297,0.00151297,0.00151297
30,85.3054,1.94169,2.13494,1.9335,0.09009,0.13776,0.04861,0.01356,2.58739,3.43684,2.56693,0.00150747,0.00150747,0.00150747
31,88.0065,1.91115,2.18349,1.94231,0.13349,0.18367,0.0746,0.02738,2.28864,3.58109,2.22719,0.00150197,0.00150197,0.00150197
32,90.7826,1.96098,2.0183,1.94116,0.18918,0.14796,0.08219,0.03028,2.34717,3.263,2.22909,0.00149647,0.00149647,0.00149647
33,93.5001,1.92811,2.00365,1.90258,0.14021,0.15306,0.06292,0.02435,2.47483,3.25945,2.46946,0.00149096,0.00149096,0.00149096
34,96.1821,1.91596,2.01994,1.9093,0.28868,0.19898,0.14443,0.04839,2.31516,3.12121,2.37292,0.00148546,0.00148546,0.00148546
35,98.8918,1.88381,1.98259,1.9013,0.2981,0.21429,0.16129,0.0605,2.24632,3.12345,2.22771,0.00147996,0.00147996,0.00147996
36,101.674,1.90323,1.98027,1.89798,0.10612,0.13776,0.03599,0.01047,2.51874,5.53333,2.48266,0.00147446,0.00147446,0.00147446
37,104.409,1.91758,2.01044,1.90556,0.16869,0.20918,0.09795,0.03554,2.23224,3.50005,2.20469,0.00146896,0.00146896,0.00146896
38,107.103,1.90479,1.97368,1.91902,0.20967,0.22449,0.11178,0.04623,2.25855,2.89234,2.21876,0.00146346,0.00146346,0.00146346
39,109.793,1.91546,1.90812,1.90289,0.18085,0.2398,0.10183,0.03365,2.4106,3.55671,2.37582,0.00145796,0.00145796,0.00145796
40,112.525,1.86478,1.90104,1.85161,0.19956,0.11735,0.08227,0.02563,2.43835,4.73953,2.42675,0.00145246,0.00145246,0.00145246
41,115.299,1.86781,1.86471,1.8598,0.10076,0.15306,0.04711,0.01781,2.42992,4.32319,2.35087,0.00144696,0.00144696,0.00144696
42,117.999,1.8849,1.92045,1.87299,0.18499,0.19898,0.10849,0.03213,2.40624,3.24404,2.37915,0.00144145,0.00144145,0.00144145
43,120.755,1.8335,1.87563,1.84813,0.21257,0.29592,0.15776,0.0511,2.29918,2.79323,2.20269,0.00143595,0.00143595,0.00143595
44,123.479,1.8274,1.82842,1.8512,0.25265,0.21939,0.15426,0.05615,2.23208,3.01723,2.16457,0.00143045,0.00143045,0.00143045
45,126.191,1.8093,1.79076,1.82771,0.17653,0.18367,0.08491,0.03856,2.21357,3.08842,2.11273,0.00142495,0.00142495,0.00142495
46,128.946,1.84472,1.79337,1.83615,0.13993,0.11735,0.04076,0.01402,2.42635,4.23318,2.35045,0.00141945,0.00141945,0.00141945
47,131.64,1.81257,1.79215,1.82827,0.14903,0.08673,0.03641,0.0147,2.42641,3.81236,2.21049,0.00141395,0.00141395,0.00141395
48,134.333,1.75253,1.69268,1.77067,0.27062,0.17857,0.10961,0.04471,2.42395,3.12911,2.26868,0.00140845,0.00140845,0.00140845
49,137.084,1.80834,1.73621,1.80854,0.14109,0.22959,0.08884,0.03117,2.32305,3.1519,2.20871,0.00140295,0.00140295,0.00140295
50,139.811,1.74789,1.65881,1.78354,0.27315,0.22449,0.1492,0.05657,2.42072,2.98941,2.39248,0.00139745,0.00139745,0.00139745
51,142.507,1.75546,1.71643,1.77178,0.12023,0.17347,0.06612,0.02316,2.5273,3.19001,2.63988,0.00139195,0.00139195,0.00139195
52,145.155,1.79044,1.86739,1.82926,0.2386,0.17857,0.12563,0.04762,2.41325,3.07813,2.49816,0.00138644,0.00138644,0.00138644
53,147.841,1.74479,1.60614,1.73018,0.21924,0.26531,0.14572,0.05263,2.3944,2.98494,2.40955,0.00138094,0.00138094,0.00138094
54,150.547,1.67606,1.62328,1.71513,0.36265,0.20918,0.17005,0.06143,2.36034,2.8751,2.29691,0.00137544,0.00137544,0.00137544
55,153.225,1.75121,1.59859,1.77143,0.26289,0.16837,0.13015,0.04637,2.39011,3.43056,2.29232,0.00136994,0.00136994,0.00136994
56,155.901,1.75257,1.69112,1.73309,0.21369,0.14286,0.08365,0.03093,2.41724,3.44987,2.27764,0.00136444,0.00136444,0.00136444
57,158.569,1.70632,1.61531,1.75392,0.2656,0.23469,0.15665,0.05746,2.32492,2.94079,2.20868,0.00135894,0.00135894,0.00135894
58,161.279,1.68876,1.57123,1.70179,0.08071,0.11224,0.03213,0.00946,2.55045,3.53338,2.42309,0.00135344,0.00135344,0.00135344
59,164.005,1.67765,1.57454,1.68227,0.08569,0.18367,0.04398,0.01462,2.51881,3.51435,2.43365,0.00134794,0.00134794,0.00134794
60,166.752,1.64573,1.44271,1.65715,0.14499,0.30612,0.1368,0.04483,2.41979,2.88742,2.31172,0.00134244,0.00134244,0.00134244
61,169.429,1.6962,1.52697,1.70363,0.11996,0.13776,0.04826,0.01311,2.72934,3.45677,2.68826,0.00133693,0.00133693,0.00133693
62,172.136,1.61167,1.49379,1.6355,0.30016,0.19898,0.15416,0.06023,2.50749,3.22962,2.55175,0.00133143,0.00133143,0.00133143
63,174.894,1.6591,1.5306,1.68162,0.16625,0.18367,0.08511,0.03083,2.54842,3.08933,2.5235,0.00132593,0.00132593,0.00132593
64,177.57,1.63539,1.43827,1.64811,0.22565,0.23469,0.14792,0.05311,2.42442,2.94183,2.40854,0.00132043,0.00132043,0.00132043
65,180.27,1.65072,1.37859,1.65419,0.25433,0.29082,0.17226,0.05594,2.46435,2.85747,2.33333,0.00131493,0.00131493,0.00131493
66,182.928,1.60597,1.40341,1.6194,0.25085,0.33163,0.18381,0.06539,2.36274,2.68532,2.27772,0.00130943,0.00130943,0.00130943
67,185.648,1.60975,1.37766,1.62435,0.20755,0.22316,0.11801,0.04668,2.62026,3.36896,2.61797,0.00130393,0.00130393,0.00130393
68,188.342,1.69058,1.48297,1.6903,0.2185,0.17261,0.10585,0.03296,2.54627,3.44497,2.45935,0.00129843,0.00129843,0.00129843
69,191.051,1.59311,1.34154,1.59401,0.24163,0.20408,0.13919,0.0521,2.40934,2.96947,2.33589,0.00129293,0.00129293,0.00129293
70,193.729,1.63086,1.3488,1.62511,0.16447,0.23469,0.12037,0.0568,2.40346,2.95902,2.38709,0.00128742,0.00128742,0.00128742
71,196.409,1.54553,1.28015,1.57248,0.40608,0.20408,0.19735,0.07413,2.25154,2.87404,2.17778,0.00128192,0.00128192,0.00128192
72,199.171,1.54711,1.26309,1.55473,0.28239,0.20408,0.1759,0.06195,2.37789,3.03315,2.31249,0.00127642,0.00127642,0.00127642
73,201.896,1.623,1.43825,1.60149,0.16787,0.2551,0.11565,0.04386,2.32826,2.9928,2.26273,0.00127092,0.00127092,0.00127092
74,204.601,1.537,1.26009,1.55415,0.2017,0.22449,0.12235,0.05018,2.39777,3.00226,2.28084,0.00126542,0.00126542,0.00126542
75,207.278,1.58577,1.27857,1.5963,0.25939,0.26805,0.15427,0.06005,2.44261,3.53006,2.43396,0.00125992,0.00125992,0.00125992
76,209.955,1.59127,1.24095,1.58967,0.18606,0.19388,0.09676,0.03728,2.65297,3.41398,2.68926,0.00125442,0.00125442,0.00125442
77,212.673,1.50759,1.20345,1.52644,0.27069,0.17857,0.11904,0.04575,2.46944,2.97386,2.40973,0.00124892,0.00124892,0.00124892
78,215.377,1.5766,1.43821,1.6063,0.22004,0.24038,0.15768,0.06425,2.38247,2.97316,2.3622,0.00124342,0.00124342,0.00124342
79,218.044,1.5895,1.30067,1.58001,0.28881,0.17857,0.10283,0.03479,2.4826,3.13258,2.50063,0.00123791,0.00123791,0.00123791
80,220.711,1.5059,1.17379,1.51205,0.20618,0.25,0.15915,0.06038,2.48136,2.80945,2.53206,0.00123241,0.00123241,0.00123241
81,223.452,1.53605,1.30813,1.53058,0.1942,0.20408,0.09767,0.03118,2.52476,3.09307,2.58921,0.00122691,0.00122691,0.00122691
82,226.137,1.5443,1.22568,1.51624,0.23192,0.30102,0.14966,0.05563,2.32142,3.05706,2.28839,0.00122141,0.00122141,0.00122141
83,228.828,1.53775,1.28248,1.57036,0.26826,0.2602,0.15633,0.06004,2.30914,2.85953,2.20175,0.00121591,0.00121591,0.00121591
84,231.497,1.52011,1.20041,1.51206,0.35253,0.26531,0.18736,0.06994,2.37398,2.7822,2.27088,0.00121041,0.00121041,0.00121041
85,234.236,1.50506,1.21519,1.52702,0.19576,0.2551,0.1297,0.05724,2.36367,2.97995,2.23801,0.00120491,0.00120491,0.00120491
86,236.921,1.49972,1.17794,1.49837,0.2044,0.17958,0.09237,0.04289,2.44335,3.31863,2.51073,0.00119941,0.00119941,0.00119941
87,239.601,1.43609,1.09292,1.45547,0.17767,0.18367,0.10689,0.04533,2.57344,3.6201,2.60998,0.00119391,0.00119391,0.00119391
88,242.288,1.48168,1.14849,1.51239,0.36326,0.2398,0.19456,0.08464,2.38791,2.96641,2.36168,0.0011884,0.0011884,0.0011884
89,245,1.42886,1.11446,1.47333,0.21532,0.19388,0.10176,0.03237,2.57809,3.41433,2.64259,0.0011829,0.0011829,0.0011829
90,247.723,1.49421,1.13649,1.49314,0.11687,0.2398,0.05946,0.02094,2.6283,3.57986,2.64322,0.0011774,0.0011774,0.0011774
91,250.438,1.38176,1.06626,1.42592,0.2928,0.18878,0.16937,0.07239,2.39045,2.95488,2.37967,0.0011719,0.0011719,0.0011719
92,253.119,1.44209,1.06864,1.43619,0.20334,0.24483,0.1219,0.05128,2.38358,3.00252,2.35099,0.0011664,0.0011664,0.0011664
93,255.798,1.47518,1.11138,1.47418,0.20641,0.22959,0.14388,0.05509,2.41749,3.01205,2.44878,0.0011609,0.0011609,0.0011609
94,258.497,1.49975,1.12436,1.51133,0.19097,0.24207,0.12924,0.04725,2.37077,2.88957,2.37565,0.0011554,0.0011554,0.0011554
95,261.227,1.48067,1.11734,1.4705,0.32563,0.29082,0.19612,0.06969,2.34685,2.6999,2.41481,0.0011499,0.0011499,0.0011499
96,263.94,1.45476,1.09495,1.4552,0.2796,0.25149,0.16821,0.05171,2.54284,2.92065,2.53585,0.0011444,0.0011444,0.0011444
97,266.618,1.46036,1.07462,1.43709,0.26828,0.18367,0.13146,0.04293,2.43496,3.00032,2.36634,0.00113889,0.00113889,0.00113889
98,269.316,1.44776,1.11087,1.46855,0.36018,0.2398,0.18156,0.06727,2.37728,2.88904,2.42613,0.00113339,0.00113339,0.00113339
99,272.014,1.35244,1.04152,1.38764,0.15127,0.28061,0.10908,0.03858,2.39165,3.16677,2.40331,0.00112789,0.00112789,0.00112789
100,274.772,1.40095,1.00039,1.40381,0.35643,0.16837,0.14336,0.05491,2.40354,2.97794,2.34021,0.00112239,0.00112239,0.00112239
101,277.461,1.40149,1.09424,1.44838,0.23237,0.17347,0.10498,0.04139,2.42061,3.25762,2.38577,0.00111689,0.00111689,0.00111689
102,280.149,1.35614,0.97244,1.39448,0.14521,0.19588,0.09701,0.03472,2.36792,3.20694,2.33346,0.00111139,0.00111139,0.00111139
103,282.934,1.40306,1.01241,1.40661,0.2899,0.28061,0.19725,0.07184,2.42735,2.89137,2.38317,0.00110589,0.00110589,0.00110589
104,285.668,1.35054,0.99573,1.38127,0.26759,0.31122,0.20219,0.0701,2.5035,2.98585,2.43411,0.00110039,0.00110039,0.00110039
105,288.373,1.3605,0.99454,1.37877,0.35204,0.24672,0.23134,0.08654,2.38695,2.923,2.31593,0.00109489,0.00109489,0.00109489
106,291.041,1.36153,0.95956,1.38682,0.3677,0.22959,0.225,0.08581,2.43864,2.89711,2.41002,0.00108938,0.00108938,0.00108938
107,293.712,1.4543,1.11821,1.46494,0.23334,0.2398,0.13637,0.05005,2.57859,3.47847,2.54047,0.00108388,0.00108388,0.00108388
108,296.451,1.37293,1.00887,1.40806,0.18191,0.27041,0.10888,0.04029,2.53831,3.32225,2.56193,0.00107838,0.00107838,0.00107838
109,299.162,1.38799,1.00826,1.41431,0.22603,0.22959,0.16135,0.07043,2.39869,3.06147,2.41959,0.00107288,0.00107288,0.00107288
110,301.831,1.32186,1.00771,1.37242,0.29406,0.20918,0.12694,0.05659,2.49069,3.47706,2.54031,0.00106738,0.00106738,0.00106738
111,304.523,1.44059,1.11141,1.47884,0.48201,0.12755,0.12834,0.05428,2.59564,3.34257,2.59458,0.00106188,0.00106188,0.00106188
112,307.213,1.37632,1.05248,1.39172,0.21971,0.20408,0.1096,0.03917,2.67932,3.22984,2.70971,0.00105638,0.00105638,0.00105638
113,309.927,1.3383,0.97059,1.36294,0.21767,0.22449,0.11321,0.04264,2.5357,3.2312,2.5543,0.00105088,0.00105088,0.00105088
114,312.628,1.30206,0.94755,1.33244,0.30356,0.20918,0.15721,0.07142,2.4868,2.8829,2.486,0.00104538,0.00104538,0.00104538
115,315.283,1.31784,0.94899,1.34381,0.22522,0.28061,0.17803,0.08234,2.33385,2.73163,2.33342,0.00103987,0.00103987,0.00103987
116,317.959,1.27299,0.95176,1.34748,0.30886,0.22449,0.1752,0.07668,2.3554,2.83942,2.34437,0.00103437,0.00103437,0.00103437
117,320.701,1.34683,0.92077,1.34037,0.26941,0.18367,0.12727,0.05451,2.44191,2.96925,2.44331,0.00102887,0.00102887,0.00102887
118,323.4,1.32254,0.92876,1.34273,0.28588,0.27041,0.20212,0.08474,2.36699,2.7393,2.32749,0.00102337,0.00102337,0.00102337
119,326.088,1.28099,0.88075,1.30995,0.30695,0.22449,0.18298,0.07231,2.34353,2.88132,2.37595,0.00101787,0.00101787,0.00101787
120,328.77,1.28087,0.88735,1.31927,0.33167,0.2602,0.19841,0.08509,2.27832,2.84813,2.28905,0.00101237,0.00101237,0.00101237
121,331.52,1.29935,0.96058,1.32754,0.38602,0.20408,0.18506,0.0785,2.35124,2.90936,2.24945,0.00100687,0.00100687,0.00100687
122,334.339,1.27996,0.89561,1.30146,0.32551,0.28061,0.22634,0.10168,2.31759,2.6928,2.29515,0.00100137,0.00100137,0.00100137
123,337.049,1.25866,0.87139,1.31369,0.25584,0.27551,0.19298,0.07723,2.3559,2.97636,2.31299,0.000995866,0.000995866,0.000995866
124,339.766,1.26634,0.86664,1.29711,0.27569,0.27551,0.16375,0.05649,2.48254,2.99974,2.43604,0.000990365,0.000990365,0.000990365
125,342.459,1.21859,0.86668,1.29249,0.32767,0.2551,0.19777,0.0734,2.40897,2.98229,2.3972,0.000984864,0.000984864,0.000984864
126,345.165,1.28778,0.90722,1.31393,0.21986,0.26531,0.14543,0.05713,2.47247,3.0851,2.46563,0.000979362,0.000979362,0.000979362
127,347.894,1.25193,0.89268,1.29822,0.26451,0.28571,0.19176,0.0827,2.33404,2.9395,2.24682,0.000973861,0.000973861,0.000973861
